"x","y","state","date","id"
"22",447478.695994471,4632876.90899451,2,2015-01-22,1
"269",447304.247964266,4632833.09232447,2,2015-09-26,1
"305",447292.092170178,4632763.22307445,2,2015-11-01,1
"326",447316.677472595,4632687.4102145,2,2015-11-22,1
"26",446344.875888707,4630693.16262814,2,2015-01-26,2
"67",446353.232463125,4630719.81553804,2,2015-03-08,2
"83",446301.716258206,4630808.64430377,2,2015-03-24,2
"171",446365.258499739,4630891.34077184,2,2015-06-20,2
"175",446365.258499739,4630891.34077184,2,2015-06-24,2
"287",446296.784858865,4630923.60692457,2,2015-10-14,2
"36",447409.097807205,4623596.51878383,2,2015-02-05,3
"41",447388.947254097,4623553.70269184,2,2015-02-10,3
"95",447498.490465317,4623432.6191452,2,2015-04-05,3
"124",447533.663924801,4623499.81625961,2,2015-05-04,3
"129",447526.516786248,4623506.55546675,2,2015-05-09,3
"133",447559.17888263,4623509.87688014,2,2015-05-13,3
"174",447642.705892739,4623568.19155062,2,2015-06-23,3
"271",447663.861516004,4623652.28024488,2,2015-09-28,3
"286",447660.680567476,4623545.79952869,2,2015-10-13,3
"344",447643.026409211,4623469.57296957,2,2015-12-10,3
"350",447654.456233519,4623420.32820007,2,2015-12-16,3
"181",445722.186048284,4632338.83732205,2,2015-06-30,4
"189",445736.476550244,4632346.1149963,2,2015-07-08,4
"198",445743.603497319,4632310.54353368,2,2015-07-17,4
"206",445751.696540447,4632311.15003558,2,2015-07-25,4
"243",445728.317900355,4632369.88498175,2,2015-08-31,4
"292",445644.325514598,4632353.4433802,2,2015-10-19,4
"88",449268.733024981,4622814.94947295,2,2015-03-29,5
"150",449287.921525528,4622728.71151984,2,2015-05-30,5
"162",449230.888647347,4622688.3930594,2,2015-06-11,5
"200",449196.675606918,4622874.47240155,2,2015-07-19,5
"218",449318.295202308,4622850.01011183,2,2015-08-06,5
"228",449317.488498565,4622893.56434653,2,2015-08-16,5
"12",446715.025879569,4631109.5258613,2,2015-01-12,6
"29",446689.978782758,4631128.38773493,2,2015-01-29,6
"66",446685.700106333,4631029.59055808,2,2015-03-07,6
"76",446638.25496494,4630982.22717504,2,2015-03-17,6
"97",446594.465867474,4630978.88017183,2,2015-04-07,6
"103",446586.884062667,4630942.75070953,2,2015-04-13,6
"216",446639.957303967,4630851.89163564,2,2015-08-04,6
"267",446665.089179803,4630662.29641772,2,2015-09-24,6
"275",446659.214730195,4630679.33213492,2,2015-10-02,6
"277",446659.214730195,4630679.33213492,2,2015-10-04,6
"282",446661.623535524,4630700.77487485,2,2015-10-09,6
"341",446692.260064963,4630757.35674561,2,2015-12-07,6
"345",446693.273050107,4630737.38241556,2,2015-12-11,6
"232",449597.75956103,4628176.64988042,2,2015-08-20,7
"246",449611.885938166,4628144.51960521,2,2015-09-03,7
