"x","y","state","date","id"
"31",448382.132019875,4632284.59666194,2,2015-01-31,1
"35",448361.624206104,4632274.58343175,2,2015-02-04,1
"60",448391.090119425,4632304.20686616,2,2015-03-01,1
"120",448292.117167391,4632269.47916603,2,2015-04-30,1
"149",448360.018187651,4632277.2471062,2,2015-05-29,1
"155",448288.200629555,4632297.22144012,2,2015-06-04,1
"187",448236.433403455,4632185.59625969,2,2015-07-06,1
"243",448264.893353383,4632068.30851447,2,2015-08-31,1
"267",448252.371326003,4631977.61543134,2,2015-09-24,1
"279",448227.322734095,4631929.7417442,2,2015-10-06,1
"311",448217.116999201,4631801.76381553,2,2015-11-07,1
"56",449523.398748305,4628426.58532302,2,2015-02-25,2
"62",449566.577333233,4628431.54193469,2,2015-03-03,2
"116",449488.682078177,4628400.19153859,2,2015-04-26,2
"208",449265.343443422,4628321.44281686,2,2015-07-27,2
"268",449330.08533671,4628382.84816605,2,2015-09-25,2
"297",449277.6473978,4628549.15010719,2,2015-10-24,2
"328",449353.027706957,4628455.89982952,2,2015-11-24,2
"38",449816.495005753,4627502.12533905,2,2015-02-07,3
"51",449820.141167144,4627555.50564375,2,2015-02-20,3
"79",449746.598546712,4627590.7385955,2,2015-03-20,3
"139",449708.5584432,4627424.15318463,2,2015-05-19,3
"148",449710.7849615,4627500.30268178,2,2015-05-28,3
"167",449700.892383403,4627449.89573689,2,2015-06-16,3
"269",449691.786697684,4627541.38693192,2,2015-09-26,3
"274",449709.273628172,4627551.09297447,2,2015-10-01,3
"344",449699.507152668,4627447.2455318,2,2015-12-10,3
"27",448173.259269609,4630250.57947878,2,2015-01-27,4
"57",448238.501356476,4630219.55895103,2,2015-02-26,4
"58",448255.988286964,4630229.26499359,2,2015-02-27,4
"191",448267.558150734,4630001.97835722,2,2015-07-10,4
"222",448260.732154129,4630005.0922221,2,2015-08-10,4
"339",448258.91933126,4629764.72728119,2,2015-12-05,4
"45",450440.385418823,4627578.24107084,2,2015-02-14,5
"75",450460.18464778,4627494.15408901,2,2015-03-16,5
"93",450449.892398074,4627506.89316319,2,2015-04-03,5
"134",450422.239484927,4627450.45074859,2,2015-05-14,5
"186",450385.48917218,4627410.94387088,2,2015-07-05,5
"358",450250.826241784,4627270.90008451,2,2015-12-24,5
"362",450232.248627958,4627254.95172416,2,2015-12-28,5
"1",448926.110331677,4623388.2479287,2,2015-01-01,6
"16",448966.432207189,4623344.78458352,2,2015-01-16,6
"37",449017.024367563,4623359.63134593,2,2015-02-06,6
"76",448999.49337241,4623268.01165111,2,2015-03-17,6
"1861",448963.662405867,4623516.56764761,2,2015-07-05,6
"248",448974.825574812,4623651.68823389,2,2015-09-05,6
"264",448970.027059908,4623704.35497916,2,2015-09-21,6
"299",448967.29920634,4623638.30393806,2,2015-10-26,6
"9",449947.392786272,4624876.44080078,2,2015-01-09,7
"39",449963.918928899,4624851.2655547,2,2015-02-08,7
"121",449979.23059462,4624969.49073158,2,2015-05-01,7
"332",450140.71980727,4625308.93024099,2,2015-11-28,7
"581",453676.008071217,4622371.15282129,2,2015-02-27,8
"71",453616.996666904,4622373.40940989,2,2015-03-12,8
"86",453568.864627249,4622356.79664348,2,2015-03-27,8
"173",453553.846657957,4622659.51785292,2,2015-06-22,8
"1862",453562.642888346,4622665.56364755,2,2015-07-05,8
"198",453672.132980406,4622632.52516321,2,2015-07-17,8
"223",453697.577034509,4622635.14003051,2,2015-08-11,8
"226",453677.577034509,4622635.14003225,2,2015-08-14,8
"247",453551.740324393,4622663.77363206,2,2015-09-04,8
"273",453581.29911344,4622599.85184812,2,2015-09-30,8
"282",453565.528260495,4622635.51026168,2,2015-10-09,8
"91",451385.951281833,4628034.40118655,2,2015-01-09,9
"371",451348.349903701,4627999.22438131,2,2015-02-06,9
"81",451315.663467349,4627895.89908471,2,2015-03-22,9
"96",451281.587763154,4627806.60546171,2,2015-04-06,9
"171",451302.132983757,4627524.07624734,2,2015-06-20,9
"333",451185.1672065,4627487.07247953,2,2015-11-29,9
"50",447278.739365503,4633333.76439616,2,2015-02-19,10
"791",447354.054166009,4633379.34971581,2,2015-03-20,10
"82",447333.328726258,4633375.09052984,2,2015-03-23,10
"911",447329.321058228,4633341.41877434,2,2015-04-01,10
"1863",447261.455678232,4633200.92564779,2,2015-07-05,10
"201",447178.884907296,4633214.4587792,2,2015-07-20,10
"213",447139.45600585,4633141.91530066,2,2015-08-01,10
"451",449562.888657116,4624753.61723661,2,2015-02-14,11
"49",449563.592285139,4624751.71738486,2,2015-02-18,11
"582",449564.47384616,4624757.1793783,2,2015-02-27,11
"77",449535.901703629,4624788.95912469,2,2015-03-18,11
"94",449550.560986484,4624818.30306633,2,2015-04-04,11
"103",449550.051295765,4624850.01664185,2,2015-04-13,11
"266",449524.17666378,4624955.56835803,2,2015-09-23,11
"335",449432.085914424,4625092.38980545,2,2015-12-01,11
"338",449453.135913275,4625126.16141311,2,2015-12-04,11
"5",449469.125921823,4622249.26444939,2,2015-01-05,12
"6",449469.125921823,4622249.26444939,2,2015-01-06,12
"491",449469.422171126,4622349.4612152,2,2015-02-18,12
"65",449476.763685828,4622438.9577155,2,2015-03-06,12
"109",449465.153135361,4622430.34641175,2,2015-04-19,12
"1711",449459.964139892,4622647.77272765,2,2015-06-20,12
"214",449528.189427884,4622851.89815967,2,2015-08-02,12
"261",449631.456014936,4622900.20943855,2,2015-09-18,12
"3331",449602.576476194,4623045.43386935,2,2015-11-29,12
"336",449623.486840429,4623067.4315685,2,2015-12-02,12
"346",449621.186871872,4623017.61141744,2,2015-12-12,12
"349",449631.212978593,4622978.88833409,2,2015-12-15,12
"356",449615.810688545,4623010.28802992,2,2015-12-22,12
"2",450695.330995031,4627130.7520713,2,2015-01-02,13
"3",450704.138875088,4627148.70816355,2,2015-01-03,13
"52",450682.980312404,4627114.76239467,2,2015-01-05,13
"61",450727.580486597,4627100.26209867,2,2015-03-02,13
"105",450593.128413092,4626985.1850668,2,2015-04-15,13
"106",450573.537814123,4626989.2110365,2,2015-04-16,13
"162",450525.455615349,4627038.28756625,2,2015-06-11,13
"3332",450573.646901666,4627018.34234648,2,2015-11-29,13
"21",450652.841507249,4626557.38297479,2,2015-01-02,14
"53",450648.28826441,4626501.07421862,2,2015-01-05,14
"92",450652.167358731,4626474.03801014,2,2015-01-09,14
"391",450650.278784811,4626546.0037453,2,2015-02-08,14
"158",450631.836051201,4626583.54213846,2,2015-06-07,14
"331",450359.429852589,4626576.15932196,2,2015-11-27,14
