"x","y","state","date","id"
"102",447623.363435107,4628779.01564279,2,2015-04-12,1
"103",447609.584098461,4628793.51150018,2,2015-04-13,1
"104",447593.168830413,4628804.9368656,2,2015-04-14,1
"5",449956,4629589,2,2015-01-05,2
"93",449939.619867601,4629568.10230445,2,2015-04-03,2
"202",449980.523553917,4629668.96751073,2,2015-07-21,2
"203",449989.331438256,4629651.01142058,2,2015-07-22,2
"204",449998.139322594,4629633.05533043,2,2015-07-23,2
"253",450006.8966403,4629683.21060407,2,2015-09-10,2
"219",447487.804549537,4628371.14175163,2,2015-08-07,3
"220",447496.612433876,4628353.18566148,2,2015-08-08,3
"221",447505.420318214,4628335.22957133,2,2015-08-09,3
"257",447497.914706913,4628199.88112645,2,2015-09-14,3
"240",448569.507752615,4625620.0765489,2,2015-08-28,4
"241",448569.507752615,4625620.0765489,2,2015-08-29,4
"242",448569.507752615,4625620.0765489,2,2015-08-30,4
"32",450010,4627184,2,2015-02-01,5
"33",450010,4627184,2,2015-02-02,5
"37",450010,4627184,2,2015-02-06,5
"138",450010,4627184,2,2015-05-18,5
"295",450010,4627184,2,2015-10-22,5
"90",445374.755903397,4632064.97746097,2,2015-03-31,6
"143",445299.403660795,4631974.14163057,2,2015-05-23,6
"144",445299.403660795,4631974.14163057,2,2015-05-24,6
"335",445294.496780704,4631975.32565199,2,2015-12-01,6
"336",445294.496780704,4631975.32565199,2,2015-12-02,6
"12",447182.091484327,4631828.73453348,2,2015-01-12,7
"83",447340.068545616,4632078.70694012,2,2015-03-24,7
"84",447337.039983721,4632098.47630564,2,2015-03-25,7
"85",447334.011421825,4632118.24567115,2,2015-03-26,7
"86",447334.011421825,4632118.24567115,2,2015-03-27,7
"105",447331.257906462,4632106.86926906,2,2015-04-15,7
"154",447336.278950658,4632151.35462523,2,2015-06-03,7
"155",447322.499614012,4632165.85048262,2,2015-06-04,7
"362",447172.846527456,4632026.12291684,2,2015-12-28,7
"21",446528.858844104,4632487.657111,2,2015-01-21,8
"321",446536.223164281,4632515.93968683,2,2015-02-01,8
"331",446541.236210717,4632535.3012303,2,2015-02-02,8
"38",446539.464809667,4632534.31802207,2,2015-02-07,8
"39",446539.464809667,4632534.31802207,2,2015-02-08,8
"2411",446699.799604552,4632633.85292575,2,2015-08-29,8
"2421",446699.799604552,4632633.85292575,2,2015-08-30,8
"243",446719.696991148,4632631.82956058,2,2015-08-31,8
